Index,full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,Helper Col : Max_power,Max_power helper (Median)
22,2011 Mitsubishi Outlander 2.4,₹ 3.97 Lakh,2011,2360 cc,Third Party insurance,Automatic,"80,000 Kms",Second Owner,Petrol,170PS,5,11.3 kmpl,SUV,Agra,0,
23,2015 Maruti Swift Dzire VDI,₹ 3.75 Lakh,2015,1248 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Diesel,74bhp,5,26.59 kmpl,Sedan,Agra,0,
24,2011 Maruti Alto K10 LXI,₹ 1 Lakh,2011,998 cc,Third Party insurance,Manual,"1,20,000 Kms",Third Owner,Petrol,67.1bhp,5,20.92 kmpl,Hatchback,Agra,10,
25,2011 Mitsubishi Outlander 2.4,₹ 3.97 Lakh,2011,2360 cc,Third Party insurance,Automatic,"80,000 Kms",Second Owner,Petrol,170PS,5,11.3 kmpl,SUV,Agra,0,
26,2021 Maruti Baleno Zeta,₹ 6.75 Lakh,2021,1197 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,81.80bhp,5,21.01 kmpl,Hatchback,Agra,80,
27,2018 Hyundai Xcent 1.2 VTVT SX,₹ 4.65 Lakh,2018,1197 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,81.86bhp,5,20.14 kmpl,Sedan,Agra,86,
28,2015 Maruti Swift Dzire VXI,₹ 4.80 Lakh,2015,1197 cc,Third Party insurance,Manual,"80,000 Kms",Second Owner,Petrol,83.14bhp,5,20.85 kmpl,Sedan,Agra,14,
29,2014 Maruti Alto 800 LXI,₹ 2.25 Lakh,2014,796 cc,Third Party insurance,Manual,"1,00,000 Kms",First Owner,Petrol,47.3bhp,5,22.74 kmpl,Hatchback,Agra,30,
30,2016 Maruti Wagon R VXI Optional,₹ 3.20 Lakh,2016,998 cc,Third Party insurance,Manual,"70,000 Kms",Second Owner,Petrol,67.04bhp,5,20.51 kmpl,Hatchback,Agra,4,
31,2015 Hyundai Grand i10 Sportz,₹ 4.15 Lakh,2015,1197 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,82bhp,5,18.9 kmpl,Hatchback,Agra,0,
32,2012 Maruti Swift VDI,₹ 2.40 Lakh,2012,1248 cc,Third Party insurance,Manual,"1,20,000 Kms",Third Owner,Diesel,74bhp,5,22.9 kmpl,Hatchback,Agra,0,
33,2013 Mahindra XUV500 W6 2WD,₹ 3.50 Lakh,2013,2179 cc,Third Party insurance,Manual,"1,00,000 Kms",Third Owner,Diesel,140bhp,7,15.1 kmpl,SUV,Agra,0,
34,2013 Mahindra XUV500 W6 2WD,₹ 3.50 Lakh,2013,2179 cc,Third Party insurance,Manual,"1,00,000 Kms",Third Owner,Diesel,140bhp,7,15.1 kmpl,SUV,Agra,0,
35,2013 Tata New Safari DICOR 2.2 EX 4x2,₹ 2.96 Lakh,2013,2179 cc,Third Party insurance,Manual,"90,000 Kms",Second Owner,Diesel,138.1bhp,7,11.57 kmpl,SUV,Agra,10,
36,2013 Tata New Safari DICOR 2.2 EX 4x2,₹ 2.96 Lakh,2013,2179 cc,Third Party insurance,Manual,"90,000 Kms",Second Owner,Diesel,138.1bhp,7,11.57 kmpl,SUV,Agra,10,
37,2018 Tata Tiago 1.2 Revotron XE,₹ 3.16 Lakh,2018,1199 cc,Third Party insurance,Manual,"1,00,000 Kms",First Owner,Petrol,84bhp,5,23.84 kmpl,Hatchback,Agra,0,
38,2017 Maruti Vitara Brezza ZDi Plus Dual Tone,₹ 7.50 Lakh,2017,1248 cc,Third Party insurance,Manual,"1,00,000 Kms",Second Owner,Diesel,88.5bhp,5,24.3 kmpl,SUV,Agra,50,
39,2019 Maruti Ertiga VDI,₹ 9 Lakh,2019,1248 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Diesel,88.50bhp,7,25.47 kmpl,MUV,Agra,50,
40,2022 Maruti Celerio VXI BSVI,₹ 5.60 Lakh,2022,998 cc,Third Party insurance,Manual,"10,000 Kms",First Owner,Petrol,65.71bhp,5,25.24 kmpl,Hatchback,Agra,71,
41,2017 Maruti Vitara Brezza ZDi Plus,₹ 8 Lakh,2017,1248 cc,Third Party insurance,Manual,"1,50,000 Kms",First Owner,Diesel,88.5bhp,5,24.3 kmpl,SUV,Agra,50,
42,2017 Hyundai Creta 1.4 E Plus,₹ 9 Lakh,2017,1396 cc,Third Party insurance,Manual,"1,20,000 Kms",Second Owner,Diesel,88.7bhp,5,22.1 kmpl,SUV,Agra,70,
43,2019 Maruti Alto 800 LXI,₹ 2.80 Lakh,2019,796 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Petrol,47.33bhp,5,22.05 kmpl,Hatchback,Agra,33,
44,2013 Toyota Innova 2.5 E Diesel MS 7-seater,₹ 5.50 Lakh,2013,2494 cc,Third Party insurance,Manual,"90,000 Kms",Second Owner,Diesel,100.6bhp,7,11.4 kmpl,Toyota,Agra,60,
45,2009 Toyota Innova 2.5 G (Diesel) 7 Seater BS III,₹ 2.50 Lakh,2009,2494 cc,Third Party insurance,Manual,"1,50,000 Kms",First Owner,Diesel,102,8,12.8 kmpl,MUV,Agra,102,
46,2011 Tata Manza Aqua Quadrajet,₹ 1.50 Lakh,2011,1248 cc,Third Party insurance,Manual,"1,50,000 Kms",First Owner,Diesel,90 PS,5,18.8 kmpl,Sedan,Agra,0,
47,2011 Tata Manza Aqua Quadrajet,₹ 1.50 Lakh,2011,1248 cc,Third Party insurance,Manual,"1,50,000 Kms",First Owner,Diesel,90 PS,5,18.8 kmpl,Sedan,Agra,0,
48,2017 Hyundai Grand i10 1.2 CRDi Sportz Option,₹ 4.80 Lakh,2017,1186 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Diesel,73.97bhp,5,24 kmpl,Hatchback,Agra,97,
49,2017 Maruti Eeco CNG 5 Seater AC BSIV,₹ 3 Lakh,2017,1196 cc,Third Party insurance,Manual,"1,50,000 Kms",First Owner,CNG,61.7bhp,5,21.94 km/kg,Minivans,Agra,70,
50,2017 Maruti Eeco CNG 5 Seater AC BSIV,₹ 3 Lakh,2017,1196 cc,Third Party insurance,Manual,"1,50,000 Kms",First Owner,CNG,61.7bhp,5,21.94 km/kg,Minivans,Agra,70,
51,2017 Maruti Eeco CNG 5 Seater AC BSIV,₹ 3 Lakh,2017,1196 cc,Third Party insurance,Manual,"1,50,000 Kms",First Owner,CNG,61.7bhp,5,21.94 km/kg,Minivans,Agra,70,
52,2014 Audi A4 2.0 TDI,₹ 12 Lakh,2014,1968 cc,Third Party insurance,Automatic,"30,000 Kms",Second Owner,Diesel,147.51bhp,5,16.55 kmpl,Sedan,Agra,51,
53,2022 Hyundai i20 Sportz BSVI,₹ 8 Lakh,2022,1197 cc,Third Party insurance,Manual,"10,000 Kms",First Owner,Petrol,81.80bhp,5,21 kmpl,Hatchback,Agra,80,
54,2012 Volkswagen Polo Diesel Trendline 1.2L,₹ 2 Lakh,2012,1199 cc,Third Party insurance,Manual,"80,000 Kms",Fifth Owner,Diesel,73.9bhp,5,22.07 kmpl,Hatchback,Agra,90,
55,2019 Maruti Vitara Brezza VDi,₹ 7.40 Lakh,2019,1248 cc,Third Party insurance,Manual,"80,000 Kms",Second Owner,Diesel,88.5bhp,5,24.3 kmpl,SUV,Agra,50,
56,2009 Hyundai Santro Xing GLS,₹ 1.50 Lakh,2009,1086 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,62.1bhp,5,17.92 kmpl,Hatchback,Agra,10,
57,2016 Maruti Swift Dzire VDI,₹ 5.20 Lakh,2016,1248 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Diesel,74bhp,5,26.59 kmpl,Sedan,Agra,0,
58,2010 Hyundai i10 Sportz 1.2,₹ 1.70 Lakh,2010,1197 cc,Third Party insurance,Manual,"80,000 Kms",Third Owner,Petrol,78.9bhp,5,20.36 kmpl,Hatchback,Agra,90,
59,2021 Hyundai Venue S BSIV,₹ 7.10 Lakh,2021,1197 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,81.86bhp,5,17.52 kmpl,SUV,Agra,86,
60,2021 Skoda Rapid 1.0 TSI Onyx,₹ 9.50 Lakh,2021,999 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,108.62bhp,5,18.97 kmpl,Sedan,Agra,62,
61,2013 Ford Figo Diesel ZXI,₹ 2.40 Lakh,2013,1399 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Diesel,68.05bhp,5,20 kmpl,Hatchback,Agra,5,
62,2021 Skoda Rapid 1.0 TSI Onyx,₹ 9.30 Lakh,2021,999 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,108.62bhp,5,18.97 kmpl,Sedan,Agra,62,
63,2022 MG Hector Plus Select Diesel MT 7 STR,₹ 19.22 Lakh,2022,1956 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Diesel,167.67bhp,7,16.56 kmpl,SUV,Agra,67,
64,2013 Hyundai EON D Lite,₹ 1.50 Lakh,2013,814 cc,Third Party insurance,Manual,"50,000 Kms",Second Owner,Petrol,55.2bhp,5,21.1 kmpl,Hatchback,Agra,20,
65,2015 Hyundai Grand i10 Magna,₹ 3.80 Lakh,2015,1197 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,82bhp,5,18.9 kmpl,Hatchback,Agra,0,
66,2021 Tata Punch Adventure BSVI,₹ 5.90 Lakh,2021,1199 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,86.63bhp,5,20.09 kmpl,SUV,Agra,63,
67,2016 Volkswagen Polo 1.5 TDI Comfortline,₹ 4 Lakh,2016,1498 cc,Third Party insurance,Manual,"1,50,000 Kms",First Owner,Diesel,88bhp,5,20.14 kmpl,Hatchback,Agra,0,
68,2013 Toyota Etios Liva GD,₹ 3 Lakh,2013,1364 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Diesel,67.06bhp,5,23.59 kmpl,Hatchback,Agra,6,
69,2017 Renault Duster 85PS Diesel RxE,₹ 5 Lakh,2017,1461 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Diesel,83.8bhp,5,19.87 kmpl,SUV,Agra,80,
70,2015 Maruti Alto 800 LXI,₹ 2.10 Lakh,2015,796 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,47.3bhp,5,22.74 kmpl,Hatchback,Agra,30,
71,2009 Maruti Wagon R LX Minor,₹ 1 Lakh,2009,998 cc,Third Party insurance,Manual,"90,000 Kms",Second Owner,Petrol,67.1bhp,5,18.9 kmpl,Hatchback,Agra,10,
72,2015 Mahindra XUV500 W10 2WD,₹ 9 Lakh,2015,2179 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Diesel,140bhp,7,16 kmpl,SUV,Agra,0,
73,2020 Kia Seltos HTX Diesel,₹ 13.49 Lakh,2020,1493 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Diesel,113.43bhp,5,20.8 kmpl,SUV,Agra,43,
74,2019 Maruti Swift Dzire VDI,₹ 6.50 Lakh,2019,1248 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Diesel,74.02bhp,5,28.4 kmpl,Sedan,Agra,2,
75,2019 Maruti Wagon R LXI,₹ 4.75 Lakh,2019,998 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,67.05bhp,5,21.79 kmpl,Hatchback,Agra,5,
76,2014 Nissan Terrano XE 85 PS,₹ 3.20 Lakh,2014,1461 cc,Third Party insurance,Manual,"90,000 Kms",Second Owner,Diesel,83.8bhp,5,20.45 kmpl,SUV,Agra,80,
77,2019 Maruti Swift Dzire VDI,₹ 6.50 Lakh,2019,1248 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Diesel,74.02bhp,5,28.4 kmpl,Sedan,Agra,2,
78,2015 Hyundai Grand i10 Sportz,₹ 3.70 Lakh,2015,1197 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,82bhp,5,18.9 kmpl,Hatchback,Agra,0,
79,2009 Maruti Wagon R LXI Minor,₹ 1.10 Lakh,2009,1061 cc,Third Party insurance,Manual,"90,000 Kms",Second Owner,Petrol,67bhp,5,18.9 kmpl,Hatchback,Agra,0,
80,2009 Chevrolet Spark 1.0 LT Option Pack,"₹ 50,000",2009,995 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,"63PS at 5,400 rpm",5,16 kmpl,Hatchback,Agra,0,
81,2020 Ford Figo Titanium Diesel,₹ 5.50 Lakh,2020,1499 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Diesel,98.96bhp,5,24.4 kmpl,Hatchback,Agra,96,
82,2015 Honda Jazz 1.5 E i DTEC,₹ 3.90 Lakh,2015,1498 cc,Third Party insurance,Manual,"90,000 Kms",Second Owner,Diesel,98.6bhp,5,27.3 kmpl,Hatchback,Agra,60,
83,2017 Hyundai i10 Magna 1.1L,₹ 2.50 Lakh,2017,1086 cc,Third Party insurance,Manual,"20,000 Kms",Second Owner,Petrol,68.05bhp,5,19.81 kmpl,Hatchback,Agra,5,
84,2013 Maruti Alto 800 VXI,₹ 2 Lakh,2013,796 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Petrol,47.3bhp,5,22.74 kmpl,Hatchback,Agra,30,
85,2022 Maruti Swift Dzire VXI BSVI,₹ 7.25 Lakh,2022,1197 cc,Third Party insurance,Manual,"10,000 Kms",First Owner,Petrol,88.50bhp,5,22.41 kmpl,Sedan,Agra,50,
86,2017 Honda Jazz 1.5 V i DTEC,₹ 4.50 Lakh,2017,1498 cc,Third Party insurance,Manual,"1,10,000 Kms",First Owner,Diesel,98.6bhp,5,27.3 kmpl,Hatchback,Agra,60,
87,2017 Honda City i-DTEC ZX,₹ 7.50 Lakh,2017,1498 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Diesel,97.9bhp,5,25.6 kmpl,Sedan,Agra,90,
88,2011 Toyota Etios Liva GD,₹ 2.15 Lakh,2011,1364 cc,Third Party insurance,Manual,"70,000 Kms",Third Owner,Diesel,,5,23.59 kmpl,Hatchback,Agra,,
89,2013 Maruti Alto 800 VXI,₹ 2.06 Lakh,2013,796 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Petrol,47.3bhp,5,22.74 kmpl,Hatchback,Agra,30,
90,2015 Mahindra XUV500 W8 2WD,₹ 5.50 Lakh,2015,2179 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Diesel,140bhp,7,16 kmpl,SUV,Agra,0,
91,2012 Maruti Wagon R LXI CNG,₹ 2.50 Lakh,2012,998 cc,Third Party insurance,Manual,"1,50,000 Kms",First Owner,CNG,58.2bhp,5,26.2 kmpl,Hatchback,Agra,20,
92,2013 Maruti Alto 800 VXI,₹ 2.10 Lakh,2013,796 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Petrol,47.3bhp,5,22.74 kmpl,Hatchback,Agra,30,
93,2011 Toyota Etios V,₹ 2.50 Lakh,2011,1496 cc,Third Party insurance,Manual,"70,000 Kms",Second Owner,Petrol,,5,17.6 kmpl,Sedan,Agra,,
94,2016 Renault KWID RXL,₹ 1.85 Lakh,2016,799 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,53.3bhp,5,25.17 kmpl,Hatchback,Agra,30,
95,2014 Hyundai Grand i10 Sportz,₹ 3 Lakh,2014,1197 cc,Third Party insurance,Manual,"70,000 Kms",Third Owner,Petrol,82bhp,5,18.9 kmpl,Hatchback,Agra,0,
96,2009 Chevrolet Spark 1.0 LT,"₹ 50,000",2009,995 cc,Third Party insurance,Manual,"60,000 Kms",Third Owner,Petrol,62bhp,5,18 kmpl,Hatchback,Agra,0,
97,2009 Chevrolet Spark 1.0 LT,"₹ 50,000",2009,995 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,62bhp,5,18 kmpl,Hatchback,Agra,0,
98,2013 Hyundai Grand i10 CRDi Sportz,₹ 2.50 Lakh,2013,1120 cc,Third Party insurance,Manual,"1,00,000 Kms",Second Owner,Diesel,70bhp,5,24 kmpl,Hatchback,Agra,0,
99,2012 Maruti SX4 ZXI MT BSIV,₹ 1.90 Lakh,2012,1586 cc,Third Party insurance,Manual,"1,20,000 Kms",Second Owner,Petrol,103.3bhp,5,15.5 kmpl,Sedan,Agra,30,
100,2019 Maruti Swift Dzire VXI 1.2,₹ 6.50 Lakh,2019,1197 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,81.80bhp,5,21.21 kmpl,Sedan,Agra,80,
101,2013 Mahindra Scorpio VLX SE BSIV,₹ 5 Lakh,2013,2179 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Diesel,120bhp (86.7kw),8,15.4 kmpl,SUV,Agra,0,
102,2013 Honda Amaze E i-Dtech,₹ 1.90 Lakh,2013,1498 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Diesel,98.6bhp,5,25.8 kmpl,Sedan,Agra,60,
103,2019 Maruti Baleno 1.2 Zeta,₹ 5.70 Lakh,2019,1197 cc,Third Party insurance,Manual,"80,000 Kms",Second Owner,Petrol,83.1bhp,5,21.4 kmpl,Hatchback,Agra,10,
104,2014 Maruti Swift Dzire ZDI,₹ 3.50 Lakh,2014,1248 cc,Third Party insurance,Manual,"80,000 Kms",Second Owner,Diesel,74bhp,5,23.4 kmpl,Sedan,Agra,0,
105,2014 Honda City i DTEC S,₹ 3.80 Lakh,2014,1498 cc,Third Party insurance,Manual,"1,20,000 Kms",Fourth Owner,Diesel,98.6bhp,5,26 kmpl,Sedan,Agra,60,
106,2019 Maruti Vitara Brezza VDi,₹ 7.80 Lakh,2019,1248 cc,Third Party insurance,Manual,"1,00,000 Kms",First Owner,Diesel,88.5bhp,5,24.3 kmpl,SUV,Agra,50,
107,2018 Renault KWID STD,₹ 2.40 Lakh,2018,799 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,53.3bhp,5,25.17 kmpl,Hatchback,Agra,30,
108,2021 Tata Nexon XM BSVI,₹ 8.40 Lakh,2021,1199 cc,Third Party insurance,Manual,"10,000 Kms",First Owner,Petrol,118.35bhp,5,17.33 kmpl,SUV,Agra,35,
109,2013 Ford Ecosport 1.5 DV5 MT Trend,₹ 2.50 Lakh,2013,1498 cc,Third Party insurance,Manual,"1,00,000 Kms",Second Owner,Diesel,89.84bhp,5,22.7 kmpl,SUV,Agra,84,
110,2014 Maruti Swift VDI BSIV,₹ 4 Lakh,2014,1248 cc,Third Party insurance,Manual,"1,00,000 Kms",Second Owner,Diesel,74bhp,5,25.2 kmpl,Hatchback,Agra,0,
111,2009 Maruti Wagon R LXI Minor,₹ 1.50 Lakh,2009,1061 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Petrol,67bhp,5,18.9 kmpl,Hatchback,Agra,0,
112,2009 Tata Indica Aqua 1.3 Quadrajet,₹ 1 Lakh,2009,1248 cc,Third Party insurance,Manual,"70,000 Kms",Second Owner,Diesel,75 PS at 4000 rpm,5,18 kmpl,Hatchback,Agra,0,
113,2020 Mahindra XUV500 W7,₹ 12.75 Lakh,2020,2179 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Diesel,152.87bhp,7,15.1 kmpl,SUV,Agra,87,
114,2015 Datsun GO Plus T BSIV,₹ 2.70 Lakh,2015,1198 cc,Third Party insurance,Manual,"30,000 Kms",Second Owner,Petrol,67bhp,7,19.44 kmpl,MUV,Agra,0,
115,2020 Mahindra XUV500 W7,₹ 12.75 Lakh,2020,2179 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Diesel,152.87bhp,7,15.1 kmpl,SUV,Agra,87,
116,2012 Chevrolet Beat Diesel,₹ 2.20 Lakh,2012,936 cc,Third Party insurance,Manual,"70,000 Kms",Second Owner,Diesel,57.6bhp,5,25.44 kmpl,Hatchback,Agra,60,
117,2017 Ford Aspire 1.5 TDCi Titanium,₹ 6 Lakh,2017,1498 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Diesel,99bhp,5,25.83 kmpl,Sedan,Agra,0,
118,2016 Mahindra XUV500 W4,₹ 9 Lakh,2016,2179 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Diesel,140bhp,7,16 kmpl,SUV,Agra,0,
119,2019 Maruti Wagon R ZXI 1.2,₹ 4.95 Lakh,2019,1197 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,81.80bhp,5,20.52 kmpl,Hatchback,Agra,80,
120,2022 Mahindra XUV300 W8 Option AMT BSVI,₹ 9.80 Lakh,2022,1197 cc,Third Party insurance,Automatic,"60,000 Kms",First Owner,Petrol,108.62bhp,5,16.5 kmpl,SUV,Agra,62,
121,2019 Kia Seltos GTX DCT,₹ 13.75 Lakh,2019,1353 cc,Third Party insurance,Automatic,"20,000 Kms",First Owner,Petrol,138bhp,5,16.2 kmpl,SUV,Agra,0,
122,2015 Maruti Wagon R VXI BS IV,₹ 3.40 Lakh,2015,998 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,67.04bhp,5,20.51 kmpl,Hatchback,Agra,4,
123,2020 MG Hector Sharp DCT,₹ 13 Lakh,2020,1451 cc,Third Party insurance,Automatic,"40,000 Kms",Second Owner,Petrol,141bhp,5,13.96 kmpl,SUV,Agra,0,
124,2019 Tata Nexon 1.2 Revotron XT,₹ 6 Lakh,2019,1198 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Petrol,108.5bhp,5,17 kmpl,SUV,Agra,50,
125,2012 Honda Brio V MT,₹ 3 Lakh,2012,1198 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Petrol,86.8bhp,5,19.4 kmpl,Hatchback,Agra,80,
126,2013 Renault Fluence Diesel E4,₹ 5 Lakh,2013,1461 cc,Third Party insurance,Manual,"1,50,000 Kms",Second Owner,Diesel,78 kW,5,21.8 kmpl,Sedan,Agra,0,
127,2020 Toyota Yaris G Optional,₹ 10.99 Lakh,2020,1496 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,105.94bhp,5,17.1 kmpl,Sedan,Agra,94,
128,2011 Honda City 1.5 V MT,₹ 3.50 Lakh,2011,1497 cc,Third Party insurance,Manual,"90,000 Kms",Second Owner,Petrol,"118PS at 6,600 rpm",5,17 kmpl,Sedan,Agra,0,
129,2019 Renault Triber RXL BSIV,₹ 4.35 Lakh,2019,999 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,72bhp,7,20 kmpl,MUV,Agra,0,
130,2012 Maruti Wagon R LXI BS IV,₹ 1.86 Lakh,2012,998 cc,Third Party insurance,Manual,"1,00,000 Kms",Second Owner,Petrol,67.1bhp,5,18.9 kmpl,Hatchback,Agra,10,
131,2022 Maruti Eeco CNG 5 Seater AC,₹ 6.25 Lakh,2022,1196 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,CNG,61.68bhp,5,20.88 km/kg,Minivans,Agra,68,
